timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200317234753	2020-03-17 23:47:53	Montenegro	2	0	0	2	0
20200318234401	2020-03-18 23:44:01	Montenegro	2	0	0	2	0
20200319131523	2020-03-19 13:15:23	Montenegro	8	0	0	8	0
20200320120009	2020-03-20 12:00:09	Montenegro	13	0	0	13	0
20200321120003	2020-03-21 12:00:03	Montenegro	14	0	0	14	0
20200322120004	2020-03-22 12:00:04	Montenegro	16	0	0	16	0
20200323120003	2020-03-23 12:00:03	Montenegro	21	0	0	21	0
20200324120004	2020-03-24 12:00:04	Montenegro	27	1	0	26	0
20200325120004	2020-03-25 12:00:04	Montenegro	47	1	0	46	0
20200326120004	2020-03-26 12:00:04	Montenegro	53	1	0	52	1
20200327120003	2020-03-27 12:00:03	Montenegro	69	1	0	68	1
20200328000003	2020-03-28 00:00:03	Montenegro	69	1	0	68	1
20200330165358	2020-03-30 16:53:58	Montenegro	85	1	0	84	1
20200331120003	2020-03-31 12:00:03	Montenegro	91	1	0	90	1
20200401120003	2020-04-01 12:00:03	Montenegro	109	2	0	107	1
20200402120004	2020-04-02 12:00:04	Montenegro	123	2	0	121	4
20200403120003	2020-04-03 12:00:03	Montenegro	144	2	0	142	4
20200404120004	2020-04-04 12:00:04	Montenegro	174	2	1	171	4
20200405120003	2020-04-05 12:00:03	Montenegro	201	2	1	198	4
20200406120003	2020-04-06 12:00:03	Montenegro	214	2	1	211	4
