timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200224234216	2020-02-24 23:42:16	Afghanistan	1	0	0		0
20200225235434	2020-02-25 23:54:34	Afghanistan	1	0	0		0
20200226234848	2020-02-26 23:48:48	Afghanistan	1	0	0		0
20200227234720	2020-02-27 23:47:20	Afghanistan	1	0	0		0
20200228231028	2020-02-28 23:10:28	Afghanistan	1	0	0		0
20200229235144	2020-02-29 23:51:44	Afghanistan	1	0	0	1	0
20200301234648	2020-03-01 23:46:48	Afghanistan	1	0	0	1	0
20200302224751	2020-03-02 22:47:51	Afghanistan	1	0	0	1	0
20200303231332	2020-03-03 23:13:32	Afghanistan	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	Afghanistan	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Afghanistan	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Afghanistan	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Afghanistan	4	0	0	4	0
20200308232251	2020-03-08 23:22:51	Afghanistan	4	0	0	4	0
20200309234747	2020-03-09 23:47:47	Afghanistan	4	0	0	4	0
20200310233243	2020-03-10 23:32:43	Afghanistan	5	0	0	5	0
20200311234701	2020-03-11 23:47:01	Afghanistan	7	0	0	7	0
20200312233926	2020-03-12 23:39:26	Afghanistan	7	0	0	7	0
20200313235940	2020-03-13 23:59:40	Afghanistan	7	0	0	7	0
20200314235906	2020-03-14 23:59:06	Afghanistan	11	0	0	11	0
20200315231920	2020-03-15 23:19:20	Afghanistan	16	0	1	15	0
20200316232604	2020-03-16 23:26:04	Afghanistan	21	0	1	20	0
20200317234753	2020-03-17 23:47:53	Afghanistan	22	0	1	21	0
20200318234401	2020-03-18 23:44:01	Afghanistan	22	0	1	21	0
20200319131523	2020-03-19 13:15:23	Afghanistan	22	0	1	21	0
20200320120009	2020-03-20 12:00:09	Afghanistan	22	0	1	21	0
20200321120003	2020-03-21 12:00:03	Afghanistan	24	0	1	23	0
20200322120004	2020-03-22 12:00:04	Afghanistan	24	0	1	23	0
20200323120003	2020-03-23 12:00:03	Afghanistan	40	1	1	38	0
20200324120004	2020-03-24 12:00:04	Afghanistan	40	1	1	38	0
20200325120004	2020-03-25 12:00:04	Afghanistan	74	1	1	72	0
20200326120004	2020-03-26 12:00:04	Afghanistan	84	2	2	80	0
20200327120003	2020-03-27 12:00:03	Afghanistan	94	4	2	88	0
20200328000003	2020-03-28 00:00:03	Afghanistan	94	4	2	88	0
20200330165358	2020-03-30 16:53:58	Afghanistan	120	4	2	114	0
20200331120003	2020-03-31 12:00:03	Afghanistan	170	4	2	164	0
20200401120003	2020-04-01 12:00:03	Afghanistan	174	4	5	165	0
20200402120004	2020-04-02 12:00:04	Afghanistan	237	4	5	228	0
