timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200309234747	2020-03-09 23:47:47	Cyprus	2	0	0	2	0
20200310233243	2020-03-10 23:32:43	Cyprus	2	0	0	2	0
20200311234701	2020-03-11 23:47:01	Cyprus	6	0	0	6	0
20200312233926	2020-03-12 23:39:26	Cyprus	10	0	0	10	0
20200313235940	2020-03-13 23:59:40	Cyprus	14	0	0	14	0
20200314235906	2020-03-14 23:59:06	Cyprus	26	0	0	26	0
20200315231920	2020-03-15 23:19:20	Cyprus	33	0	0	33	1
20200316232604	2020-03-16 23:26:04	Cyprus	46	0	0	46	1
20200317234753	2020-03-17 23:47:53	Cyprus	49	0	0	49	1
20200318234401	2020-03-18 23:44:01	Cyprus	49	0	0	49	1
20200319131523	2020-03-19 13:15:23	Cyprus	58	0	0	58	1
