timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200228231028	2020-02-28 23:10:28	Iceland	1	0	0		0
20200229235144	2020-02-29 23:51:44	Iceland	1	0	0	1	0
20200301234648	2020-03-01 23:46:48	Iceland	3	0	0	3	0
20200302224751	2020-03-02 22:47:51	Iceland	6	0	0	6	0
20200303231332	2020-03-03 23:13:32	Iceland	11	0	1	10	0
20200304230748	2020-03-04 23:07:48	Iceland	26	0	1	25	0
20200305224916	2020-03-05 22:49:16	Iceland	35	0	0	35	0
20200306224331	2020-03-06 22:43:31	Iceland	43	0	0	43	0
20200307225610	2020-03-07 22:56:10	Iceland	50	0	1	49	0
20200308232251	2020-03-08 23:22:51	Iceland	58	0	1	57	0
20200309234747	2020-03-09 23:47:47	Iceland	65	0	1	64	0
20200310233243	2020-03-10 23:32:43	Iceland	81	0	1	80	0
20200311234701	2020-03-11 23:47:01	Iceland	85	0	1	84	0
20200312233926	2020-03-12 23:39:26	Iceland	109	0	0	109	0
20200313235940	2020-03-13 23:59:40	Iceland	134	0	0	134	0
20200314235906	2020-03-14 23:59:06	Iceland	161	0	0	161	1
20200315231920	2020-03-15 23:19:20	Iceland	180	0	0	180	1
20200316232604	2020-03-16 23:26:04	Iceland	199	0	0	199	1
20200317234753	2020-03-17 23:47:53	Iceland	247	0	5	242	1
20200318234401	2020-03-18 23:44:01	Iceland	247	0	5	242	1
20200319131523	2020-03-19 13:15:23	Iceland	250	0	5	245	1
20200320120009	2020-03-20 12:00:09	Iceland	330	0	5	325	1
20200321120003	2020-03-21 12:00:03	Iceland	409	0	5	404	1
20200322120004	2020-03-22 12:00:04	Iceland	473	1	5	467	1
20200323120003	2020-03-23 12:00:03	Iceland	568	1	5	562	1
20200324120004	2020-03-24 12:00:04	Iceland	588	1	51	536	14
