timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200310233243	2020-03-10 23:32:43	Turkey	1	0	0	1	0
20200311234701	2020-03-11 23:47:01	Turkey	1	0	0	1	0
20200312233926	2020-03-12 23:39:26	Turkey	1	0	0	1	0
20200313235940	2020-03-13 23:59:40	Turkey	5	0	0	5	0
20200314235906	2020-03-14 23:59:06	Turkey	6	0	0	6	0
20200315231920	2020-03-15 23:19:20	Turkey	18	0	0	18	0
20200316232604	2020-03-16 23:26:04	Turkey	47	0	0	47	0
20200317234753	2020-03-17 23:47:53	Turkey	98	1	0	97	0
20200318234401	2020-03-18 23:44:01	Turkey	98	1	0	97	0
20200319131523	2020-03-19 13:15:23	Turkey	191	2	0	189	0
20200320120009	2020-03-20 12:00:09	Turkey	359	4	0	355	0
20200321120003	2020-03-21 12:00:03	Turkey	670	9	0	661	0
20200322120004	2020-03-22 12:00:04	Turkey	947	21	0	926	0
