timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200307225610	2020-03-07 22:56:10	Maldives	2	0	0	2	0
20200308232251	2020-03-08 23:22:51	Maldives	4	0	0	4	0
20200309234747	2020-03-09 23:47:47	Maldives	6	0	0	6	0
20200310233243	2020-03-10 23:32:43	Maldives	6	0	0	6	0
20200311234701	2020-03-11 23:47:01	Maldives	8	0	0	8	0
20200312233926	2020-03-12 23:39:26	Maldives	8	0	0	8	0
20200313235940	2020-03-13 23:59:40	Maldives	9	0	0	9	0
20200314235906	2020-03-14 23:59:06	Maldives	10	0	0	10	0
20200315231920	2020-03-15 23:19:20	Maldives	13	0	0	13	0
20200316232604	2020-03-16 23:26:04	Maldives	13	0	0	13	0
20200317234753	2020-03-17 23:47:53	Maldives	13	0	0	13	0
20200318234401	2020-03-18 23:44:01	Maldives	13	0	0	13	0
20200319131523	2020-03-19 13:15:23	Maldives	13	0	0	13	0
