timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200227234720	2020-02-27 23:47:20	Netherlands	1	0	0		0
20200228231028	2020-02-28 23:10:28	Netherlands	2	0	0		0
20200229235144	2020-02-29 23:51:44	Netherlands	7	0	0	7	0
20200301234648	2020-03-01 23:46:48	Netherlands	10	0	0	10	1
20200302224751	2020-03-02 22:47:51	Netherlands	18	0	0	18	1
20200303231332	2020-03-03 23:13:32	Netherlands	23	0	0	23	1
20200304230748	2020-03-04 23:07:48	Netherlands	38	0	0	38	1
20200305224916	2020-03-05 22:49:16	Netherlands	82	0	0	82	1
20200306224331	2020-03-06 22:43:31	Netherlands	128	1	0	127	1
20200307225610	2020-03-07 22:56:10	Netherlands	188	1	0	187	1
20200308232251	2020-03-08 23:22:51	Netherlands	265	3	0	262	1
20200309234747	2020-03-09 23:47:47	Netherlands	321	4	0	317	1
20200310233243	2020-03-10 23:32:43	Netherlands	382	4	0	378	1
20200311234701	2020-03-11 23:47:01	Netherlands	503	5	0	498	1
20200312233926	2020-03-12 23:39:26	Netherlands	614	5	2	607	1
20200313235940	2020-03-13 23:59:40	Netherlands	804	10	2	792	1
20200314235906	2020-03-14 23:59:06	Netherlands	959	12	2	945	45
20200315231920	2020-03-15 23:19:20	Netherlands	1135	20	2	1113	45
20200316232604	2020-03-16 23:26:04	Netherlands	1413	24	2	1387	45
20200317234753	2020-03-17 23:47:53	Netherlands	1705	43	2	1660	45
20200318234401	2020-03-18 23:44:01	Netherlands	1705	43	2	1660	45
20200319131523	2020-03-19 13:15:23	Netherlands	2051	58	2	1991	45
20200320120009	2020-03-20 12:00:09	Netherlands	2460	76	2	2382	45
20200321120003	2020-03-21 12:00:03	Netherlands	2994	106	2	2886	210
20200322120004	2020-03-22 12:00:04	Netherlands	3631	136	2	3493	354
20200323120003	2020-03-23 12:00:03	Netherlands	4204	179	2	4023	354
20200324120004	2020-03-24 12:00:04	Netherlands	4749	213	2	4534	435
20200325120004	2020-03-25 12:00:04	Netherlands	5560	276	2	5282	435
20200326120004	2020-03-26 12:00:04	Netherlands	6412	356	3	6053	582
20200327120003	2020-03-27 12:00:03	Netherlands	7431	434	3	6994	761
20200328000003	2020-03-28 00:00:03	Netherlands	7431	434	3	6994	761
20200330165358	2020-03-30 16:53:58	Netherlands	10866	771	250	9845	972
20200331120003	2020-03-31 12:00:03	Netherlands	11750	864	250	10636	1053
20200401120003	2020-04-01 12:00:03	Netherlands	12595	1039	250	11306	1053
20200402120004	2020-04-02 12:00:04	Netherlands	13614	1173	250	12191	1053
20200403120003	2020-04-03 12:00:03	Netherlands	14697	1339	250	13108	1053
20200404120004	2020-04-04 12:00:04	Netherlands	15723	1487	250	13986	1324
20200405120003	2020-04-05 12:00:03	Netherlands	16627	1651	250	14726	1360
20200406120003	2020-04-06 12:00:03	Netherlands	17851	1766	250	15835	1385
