timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200225235434	2020-02-25 23:54:34	Austria	2	0	0		0
20200226234848	2020-02-26 23:48:48	Austria	2	0	0		0
20200227234720	2020-02-27 23:47:20	Austria	5	0	0		0
20200228231028	2020-02-28 23:10:28	Austria	6	0	0		0
20200229235144	2020-02-29 23:51:44	Austria	10	0	0	10	0
20200301234648	2020-03-01 23:46:48	Austria	14	0	0	14	0
20200302224751	2020-03-02 22:47:51	Austria	18	0	0	18	0
20200303231332	2020-03-03 23:13:32	Austria	24	0	0	24	0
20200304230748	2020-03-04 23:07:48	Austria	29	0	0	29	0
20200305224916	2020-03-05 22:49:16	Austria	43	0	2	41	1
20200306224331	2020-03-06 22:43:31	Austria	66	0	2	64	1
20200307225610	2020-03-07 22:56:10	Austria	81	0	2	79	1
20200308232251	2020-03-08 23:22:51	Austria	104	0	2	102	1
20200309234747	2020-03-09 23:47:47	Austria	131	0	2	129	1
20200310233243	2020-03-10 23:32:43	Austria	182	0	4	178	1
20200311234701	2020-03-11 23:47:01	Austria	246	0	4	242	1
20200312233926	2020-03-12 23:39:26	Austria	361	1	4	356	1
20200313235940	2020-03-13 23:59:40	Austria	504	1	6	497	1
20200314235906	2020-03-14 23:59:06	Austria	655	1	6	648	1
20200315231920	2020-03-15 23:19:20	Austria	860	1	6	853	1
20200316232604	2020-03-16 23:26:04	Austria	1018	3	8	1007	12
20200317234753	2020-03-17 23:47:53	Austria	1332	4	8	1320	12
20200318234401	2020-03-18 23:44:01	Austria	1332	4	9	1319	12
20200319131523	2020-03-19 13:15:23	Austria	1646	4	9	1633	12
