timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200307225610	2020-03-07 22:56:10	Faeroe Islands	2	0	0	2	0
20200308232251	2020-03-08 23:22:51	Faeroe Islands	2	0	0	2	0
20200309234747	2020-03-09 23:47:47	Faeroe Islands	2	0	0	2	0
20200310233243	2020-03-10 23:32:43	Faeroe Islands	2	0	0	2	0
20200311234701	2020-03-11 23:47:01	Faeroe Islands	2	0	0	2	0
20200312233926	2020-03-12 23:39:26	Faeroe Islands	2	0	0	2	0
20200313235940	2020-03-13 23:59:40	Faeroe Islands	3	0	0	3	0
20200314235906	2020-03-14 23:59:06	Faeroe Islands	9	0	0	9	0
20200315231920	2020-03-15 23:19:20	Faeroe Islands	11	0	0	11	0
20200316232604	2020-03-16 23:26:04	Faeroe Islands	18	0	0	18	0
20200317234753	2020-03-17 23:47:53	Faeroe Islands	47	0	0	47	0
20200318234401	2020-03-18 23:44:01	Faeroe Islands	47	0	0	47	0
20200319131523	2020-03-19 13:15:23	Faeroe Islands	58	0	1	57	0
20200320120009	2020-03-20 12:00:09	Faeroe Islands	72	0	1	71	0
20200321120003	2020-03-21 12:00:03	Faeroe Islands	80	0	3	77	0
20200322120004	2020-03-22 12:00:04	Faeroe Islands	92	0	3	89	0
20200323120003	2020-03-23 12:00:03	Faeroe Islands	115	0	3	112	0
20200324120004	2020-03-24 12:00:04	Faeroe Islands	118	0	23	95	0
20200325120004	2020-03-25 12:00:04	Faeroe Islands	122	0	33	89	0
20200326120004	2020-03-26 12:00:04	Faeroe Islands	132	0	38	94	2
20200327120003	2020-03-27 12:00:03	Faeroe Islands	140	0	47	93	0
20200328000003	2020-03-28 00:00:03	Faeroe Islands	140	0	47	93	0
20200330165358	2020-03-30 16:53:58	Faeroe Islands	159	0	70	89	1
20200331120003	2020-03-31 12:00:03	Faeroe Islands	168	0	70	98	1
20200401120003	2020-04-01 12:00:03	Faeroe Islands	169	0	74	95	3
20200402120004	2020-04-02 12:00:04	Faeroe Islands	173	0	75	98	1
20200403120003	2020-04-03 12:00:03	Faeroe Islands	177	0	81	96	1
20200404120004	2020-04-04 12:00:04	Faeroe Islands	179	0	91	88	1
20200405120003	2020-04-05 12:00:03	Faeroe Islands	181	0	93	88	2
20200406120003	2020-04-06 12:00:03	Faeroe Islands	181	0	99	82	1
