timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200303231332	2020-03-03 23:13:32	Liechtenstein	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	Liechtenstein	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Liechtenstein	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Liechtenstein	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Liechtenstein	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Liechtenstein	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Liechtenstein	1	0	0	1	0
20200310233243	2020-03-10 23:32:43	Liechtenstein	1	0	0	1	0
20200311234701	2020-03-11 23:47:01	Liechtenstein	1	0	0	1	0
20200312233926	2020-03-12 23:39:26	Liechtenstein	4	0	0	4	0
20200313235940	2020-03-13 23:59:40	Liechtenstein	4	0	0	4	0
20200314235906	2020-03-14 23:59:06	Liechtenstein	4	0	0	4	0
20200315231920	2020-03-15 23:19:20	Liechtenstein	7	0	0	7	0
20200316232604	2020-03-16 23:26:04	Liechtenstein	7	0	0	7	0
20200317234753	2020-03-17 23:47:53	Liechtenstein	19	0	0	19	0
20200318234401	2020-03-18 23:44:01	Liechtenstein	19	0	0	19	0
20200319131523	2020-03-19 13:15:23	Liechtenstein	28	0	0	28	0
20200320120009	2020-03-20 12:00:09	Liechtenstein	28	0	0	28	0
20200321120003	2020-03-21 12:00:03	Liechtenstein	28	0	0	28	0
20200322120004	2020-03-22 12:00:04	Liechtenstein	37	0	0	37	0
20200323120003	2020-03-23 12:00:03	Liechtenstein	37	0	0	37	0
20200324120004	2020-03-24 12:00:04	Liechtenstein	51	0	0	51	0
