timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200309234747	2020-03-09 23:47:47	Albania	6	0	0	6	0
20200310233243	2020-03-10 23:32:43	Albania	10	0	0	10	0
20200311234701	2020-03-11 23:47:01	Albania	15	1	0	14	0
20200312233926	2020-03-12 23:39:26	Albania	23	1	0	22	0
20200313235940	2020-03-13 23:59:40	Albania	33	1	0	32	0
20200314235906	2020-03-14 23:59:06	Albania	38	1	0	37	2
20200315231920	2020-03-15 23:19:20	Albania	42	1	0	41	2
20200316232604	2020-03-16 23:26:04	Albania	51	1	0	50	2
20200317234753	2020-03-17 23:47:53	Albania	55	1	0	54	2
20200318234401	2020-03-18 23:44:01	Albania	55	1	0	54	2
20200319131523	2020-03-19 13:15:23	Albania	59	2	0	57	2
20200320120009	2020-03-20 12:00:09	Albania	64	2	0	62	2
20200321120003	2020-03-21 12:00:03	Albania	70	2	2	66	2
20200322120004	2020-03-22 12:00:04	Albania	76	2	2	72	2
20200323120003	2020-03-23 12:00:03	Albania	89	2	2	85	2
20200324120004	2020-03-24 12:00:04	Albania	104	4	2	98	2
20200325120004	2020-03-25 12:00:04	Albania	123	5	10	108	2
20200326120004	2020-03-26 12:00:04	Albania	146	5	17	124	3
20200327120003	2020-03-27 12:00:03	Albania	174	6	17	151	3
20200328000003	2020-03-28 00:00:03	Albania	174	6	17	151	3
20200330165358	2020-03-30 16:53:58	Albania	212	10	33	169	3
20200331120003	2020-03-31 12:00:03	Albania	223	11	44	168	7
20200401120003	2020-04-01 12:00:03	Albania	243	15	52	176	8
20200402120004	2020-04-02 12:00:04	Albania	259	15	67	177	7
