timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200224234216	2020-02-24 23:42:16	Oman	2	0	0		0
20200225235434	2020-02-25 23:54:34	Oman	4	0	0		0
20200226234848	2020-02-26 23:48:48	Oman	4	0	0		0
20200227234720	2020-02-27 23:47:20	Oman	6	0	0		0
20200228231028	2020-02-28 23:10:28	Oman	6	0	0		0
20200229235144	2020-02-29 23:51:44	Oman	6	0	1	5	0
20200301234648	2020-03-01 23:46:48	Oman	6	0	1	5	0
20200302224751	2020-03-02 22:47:51	Oman	6	0	2	4	0
20200303231332	2020-03-03 23:13:32	Oman	12	0	2	10	0
20200304230748	2020-03-04 23:07:48	Oman	15	0	2	13	0
20200305224916	2020-03-05 22:49:16	Oman	16	0	2	14	0
20200306224331	2020-03-06 22:43:31	Oman	16	0	2	14	0
20200307225610	2020-03-07 22:56:10	Oman	16	0	2	14	0
20200308232251	2020-03-08 23:22:51	Oman	16	0	2	14	0
20200309234747	2020-03-09 23:47:47	Oman	18	0	9	9	0
20200310233243	2020-03-10 23:32:43	Oman	18	0	9	9	0
20200311234701	2020-03-11 23:47:01	Oman	18	0	9	9	0
20200312233926	2020-03-12 23:39:26	Oman	18	0	9	9	0
20200313235940	2020-03-13 23:59:40	Oman	19	0	9	10	0
20200314235906	2020-03-14 23:59:06	Oman	19	0	9	10	0
20200315231920	2020-03-15 23:19:20	Oman	22	0	9	13	0
20200316232604	2020-03-16 23:26:04	Oman	22	0	9	13	0
20200317234753	2020-03-17 23:47:53	Oman	33	0	12	21	0
20200318234401	2020-03-18 23:44:01	Oman	33	0	12	21	0
20200319131523	2020-03-19 13:15:23	Oman	39	0	13	26	0
20200320120009	2020-03-20 12:00:09	Oman	48	0	13	35	0
20200321120003	2020-03-21 12:00:03	Oman	48	0	13	35	0
20200322120004	2020-03-22 12:00:04	Oman	52	0	13	39	0
20200323120003	2020-03-23 12:00:03	Oman	55	0	17	38	0
20200324120004	2020-03-24 12:00:04	Oman	66	0	17	49	0
20200325120004	2020-03-25 12:00:04	Oman	84	0	17	67	0
20200326120004	2020-03-26 12:00:04	Oman	99	0	17	82	0
20200327120003	2020-03-27 12:00:03	Oman	109	0	23	86	0
20200328000003	2020-03-28 00:00:03	Oman	109	0	23	86	0
20200330165358	2020-03-30 16:53:58	Oman	167	0	23	144	3
20200331120003	2020-03-31 12:00:03	Oman	179	0	29	150	3
20200401120003	2020-04-01 12:00:03	Oman	192	1	34	157	3
20200402120004	2020-04-02 12:00:04	Oman	210	1	34	175	3
20200403120003	2020-04-03 12:00:03	Oman	231	1	57	173	3
20200404120004	2020-04-04 12:00:04	Oman	252	1	57	194	3
20200405120003	2020-04-05 12:00:03	Oman	277	2	61	214	3
20200406120003	2020-04-06 12:00:03	Oman	298	2	61	235	3
