timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Germany	4	0			
20200130193726	2020-01-30 19:37:26	Germany	4	0			
20200131214927	2020-01-31 21:49:27	Germany	6	0			
20200201155449	2020-02-01 15:54:49	Germany	7	0			
20200202162745	2020-02-02 16:27:45	Germany	10	0			
20200203164423	2020-02-03 16:44:23	Germany	10	0	0		0
20200204230701	2020-02-04 23:07:01	Germany	12	0	0		0
20200205184441	2020-02-05 18:44:41	Germany	12	0	0		0
20200206231855	2020-02-06 23:18:55	Germany	13	0	0		0
20200207180939	2020-02-07 18:09:39	Germany	13	0	0		0
20200208224247	2020-02-08 22:42:47	Germany	14	0	0		0
20200210194000	2020-02-10 19:40:00	Germany	14	0	0		0
20200211210512	2020-02-11 21:05:12	Germany	16	0	0		0
20200212102815	2020-02-12 10:28:15	Germany	16	0	0		0
20200213195411	2020-02-13 19:54:11	Germany	16	0	1		0
20200214232753	2020-02-14 23:27:53	Germany	16	0	1		0
20200215063649	2020-02-15 06:36:49	Germany	16	0	1		0
20200216230426	2020-02-16 23:04:26	Germany	16	0	3		0
20200217113920	2020-02-17 11:39:20	Germany	16	0	3		0
20200218164329	2020-02-18 16:43:29	Germany	16	0	9		0
20200219180116	2020-02-19 18:01:16	Germany	16	0	9		0
20200220220812	2020-02-20 22:08:12	Germany	16	0	13		0
20200221233317	2020-02-21 23:33:17	Germany	16	0	14		0
20200222234612	2020-02-22 23:46:12	Germany	16	0	14		0
20200223235611	2020-02-23 23:56:11	Germany	16	0	14		0
20200224234216	2020-02-24 23:42:16	Germany	16	0	14		0
20200225235434	2020-02-25 23:54:34	Germany	18	0	15		1
20200226234848	2020-02-26 23:48:48	Germany	27	0	15		2
20200227234720	2020-02-27 23:47:20	Germany	48	0	16		2
20200228231028	2020-02-28 23:10:28	Germany	60	0	16		2
20200229235144	2020-02-29 23:51:44	Germany	79	0	16	63	2
20200301234648	2020-03-01 23:46:48	Germany	130	0	16	114	2
20200302224751	2020-03-02 22:47:51	Germany	165	0	16	149	2
20200303231332	2020-03-03 23:13:32	Germany	196	0	16	180	2
20200304230748	2020-03-04 23:07:48	Germany	262	0	16	246	2
20200305224916	2020-03-05 22:49:16	Germany	545	0	17	528	2
20200306224331	2020-03-06 22:43:31	Germany	670	0	17	653	8
20200307225610	2020-03-07 22:56:10	Germany	800	0	18	782	9
20200308232251	2020-03-08 23:22:51	Germany	1040	0	18	1022	9
20200309234747	2020-03-09 23:47:47	Germany	1224	2	18	1204	9
20200310233243	2020-03-10 23:32:43	Germany	1565	2	18	1545	9
20200311234701	2020-03-11 23:47:01	Germany	1908	3	25	1880	9
20200312233926	2020-03-12 23:39:26	Germany	2745	6	25	2714	9
20200313235940	2020-03-13 23:59:40	Germany	3675	8	46	3621	9
20200314235906	2020-03-14 23:59:06	Germany	4599	9	46	4544	9
20200315231920	2020-03-15 23:19:20	Germany	5813	11	46	5756	2
20200316232604	2020-03-16 23:26:04	Germany	7272	17	67	7188	2
20200317234753	2020-03-17 23:47:53	Germany	9367	26	67	9274	2
20200318234401	2020-03-18 23:44:01	Germany	9367	26	67	9274	2
20200319131523	2020-03-19 13:15:23	Germany	12327	28	105	12194	2
20200320120009	2020-03-20 12:00:09	Germany	15320	44	115	15161	2
20200321120003	2020-03-21 12:00:03	Germany	19848	68	180	19600	2
20200322120004	2020-03-22 12:00:04	Germany	22364	84	209	22071	2
20200323120003	2020-03-23 12:00:03	Germany	24873	94	266	24513	23
20200324120004	2020-03-24 12:00:04	Germany	29056	123	453	28480	23
20200325120004	2020-03-25 12:00:04	Germany	32991	159	3290	29542	23
20200326120004	2020-03-26 12:00:04	Germany	37323	206	3547	33570	23
20200327120003	2020-03-27 12:00:03	Germany	43938	267	5673	37998	23
20200328000003	2020-03-28 00:00:03	Germany	43938	267	5673	37998	23
20200330165358	2020-03-30 16:53:58	Germany	62435	541	9211	52683	1979
20200331120003	2020-03-31 12:00:03	Germany	66885	645	13500	52740	1979
20200401120003	2020-04-01 12:00:03	Germany	71808	775	16100	54933	2675
20200402120004	2020-04-02 12:00:04	Germany	77981	931	18700	58350	3408
20200403120003	2020-04-03 12:00:03	Germany	84794	1107	22440	61247	3936
20200404120004	2020-04-04 12:00:04	Germany	91159	1275	24575	65309	3936
20200405120003	2020-04-05 12:00:03	Germany	96092	1444	26400	68248	3936
20200406120003	2020-04-06 12:00:03	Germany	100123	1584	28700	69839	3936
