timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200305224916	2020-03-05 22:49:16	South Africa	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	South Africa	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	South Africa	2	0	0	2	0
20200308232251	2020-03-08 23:22:51	South Africa	3	0	0	3	0
20200309234747	2020-03-09 23:47:47	South Africa	7	0	0	7	0
20200310233243	2020-03-10 23:32:43	South Africa	7	0	0	7	0
20200311234701	2020-03-11 23:47:01	South Africa	13	0	0	13	0
20200312233926	2020-03-12 23:39:26	South Africa	17	0	0	17	0
20200313235940	2020-03-13 23:59:40	South Africa	24	0	0	24	0
20200314235906	2020-03-14 23:59:06	South Africa	38	0	0	38	0
20200315231920	2020-03-15 23:19:20	South Africa	61	0	0	61	0
20200316232604	2020-03-16 23:26:04	South Africa	64	0	0	64	0
20200317234753	2020-03-17 23:47:53	South Africa	85	0	0	85	0
20200318234401	2020-03-18 23:44:01	South Africa	85	0	0	85	0
20200319131523	2020-03-19 13:15:23	South Africa	116	0	0	116	0
20200320120009	2020-03-20 12:00:09	South Africa	150	0	0	150	0
20200321120003	2020-03-21 12:00:03	South Africa	202	0	0	202	0
20200322120004	2020-03-22 12:00:04	South Africa	240	0	2	238	0
20200323120003	2020-03-23 12:00:03	South Africa	274	0	2	272	0
20200324120004	2020-03-24 12:00:04	South Africa	402	0	4	398	0
