timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200219180116	2020-02-19 18:01:16	Iran	2	2	0		0
20200220220812	2020-02-20 22:08:12	Iran	5	2	0		0
20200221233317	2020-02-21 23:33:17	Iran	18	4	0		0
20200222234612	2020-02-22 23:46:12	Iran	29	6	0		0
20200223235611	2020-02-23 23:56:11	Iran	43	8	0		0
20200224234216	2020-02-24 23:42:16	Iran	61	12	3		0
20200225235434	2020-02-25 23:54:34	Iran	95	16	25		0
20200226234848	2020-02-26 23:48:48	Iran	139	19	25		0
20200227234720	2020-02-27 23:47:20	Iran	245	26	54		0
20200228231028	2020-02-28 23:10:28	Iran	388	34	73		0
20200229235144	2020-02-29 23:51:44	Iran	593	43	123	427	0
20200301234648	2020-03-01 23:46:48	Iran	978	54	175	749	0
20200302224751	2020-03-02 22:47:51	Iran	1501	66	291	1144	0
20200303231332	2020-03-03 23:13:32	Iran	2336	77	435	1824	0
20200304230748	2020-03-04 23:07:48	Iran	2922	92	552	2278	0
20200305224916	2020-03-05 22:49:16	Iran	3513	108	739	2666	0
20200306224331	2020-03-06 22:43:31	Iran	4747	124	913	3710	0
20200307225610	2020-03-07 22:56:10	Iran	5823	145	1669	4009	0
20200308232251	2020-03-08 23:22:51	Iran	6566	194	2134	4238	0
20200309234747	2020-03-09 23:47:47	Iran	7161	237	2394	4530	0
20200310233243	2020-03-10 23:32:43	Iran	8042	291	2731	5020	0
20200311234701	2020-03-11 23:47:01	Iran	9000	354	2959	5687	0
20200312233926	2020-03-12 23:39:26	Iran	10075	429	3276	6370	0
20200313235940	2020-03-13 23:59:40	Iran	11364	514	3529	7321	0
20200314235906	2020-03-14 23:59:06	Iran	12729	611	4339	7779	0
20200315231920	2020-03-15 23:19:20	Iran	13938	724	4590	8624	0
20200316232604	2020-03-16 23:26:04	Iran	14991	853	4590	9548	0
20200317234753	2020-03-17 23:47:53	Iran	16169	988	5389	9792	0
20200318234401	2020-03-18 23:44:01	Iran	16169	988	5389	9792	0
20200319131523	2020-03-19 13:15:23	Iran	17361	1135	5710	10516	0
20200320120009	2020-03-20 12:00:09	Iran	18407	1284	5979	11144	0
20200321120003	2020-03-21 12:00:03	Iran	19644	1433	6745	11466	0
20200322120004	2020-03-22 12:00:04	Iran	20610	1556	7635	11419	0
20200323120003	2020-03-23 12:00:03	Iran	21638	1685	7913	12040	0
20200324120004	2020-03-24 12:00:04	Iran	23049	1812	8376	12861	0
20200325120004	2020-03-25 12:00:04	Iran	24811	1934	8913	13964	0
20200326120004	2020-03-26 12:00:04	Iran	27017	2077	9625	15315	0
20200327120003	2020-03-27 12:00:03	Iran	29406	2234	10457	16715	2746
20200328000003	2020-03-28 00:00:03	Iran	29406	2234	10457	16715	2746
20200330165358	2020-03-30 16:53:58	Iran	38309	2640	12391	23278	3206
20200331120003	2020-03-31 12:00:03	Iran	41495	2757	13911	24827	3511
20200401120003	2020-04-01 12:00:03	Iran	44605	2898	14656	27051	3703
20200402120004	2020-04-02 12:00:04	Iran	47593	3036	15473	29084	3871
